timestamp,feature,value,reason_flagged
46185.253935185196,conductivity,-0.1007550582289695,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25394675926,conductivity,-0.1000510677695274,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.253958333335,conductivity,-0.0993470698595047,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25396990741,conductivity,-0.09864307940006256,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25398148148,conductivity,-0.09793908894062042,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25399305556,conductivity,-0.09723509103059769,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25400462963,conductivity,-0.09653110057115555,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.2540162037,conductivity,-0.09582711011171342,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25402777777,conductivity,-0.09512311220169069,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25403935185,conductivity,-0.09441912174224851,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25405092593,conductivity,-0.0937151312828064,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.2540625,conductivity,-0.09301113337278366,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25407407407,conductivity,-0.09230714291334152,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25408564815,conductivity,-0.09160315245389937,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25409722222,conductivity,-0.09089915454387663,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.254108796296,conductivity,-0.09019516408443451,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.254120370366,conductivity,-0.08949117362499237,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25413194444,conductivity,-0.08878717571496964,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.25414351852,conductivity,-0.08808318525552748,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.2541550926,conductivity,-0.08737919479608534,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.254166666666,conductivity,-0.08667519688606262,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.254178240735,conductivity,-0.08597120642662048,Negative conductivity NEEDS FACTORY TAG VALIDATION
46185.254189814805,conductivity,-0.08526721596717833,Negative conductivity NEEDS FACTORY TAG VALIDATION
